date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-10-23,88,13.0,,0.13,11.440000000000001
2020-10-24,68,13.0,,0.13,8.84
2020-10-25,83,11.0,False,0.11,9.13
2020-10-26,70,11.0,,0.11,7.7
2020-10-27,100,11.0,,0.11,11.0
2020-10-28,92,11.0,,0.11,10.12
2020-10-29,93,11.0,,0.11,10.23
2020-10-30,64,11.0,,0.11,7.04
2020-10-31,69,11.0,,0.11,7.59
2020-11-01,32,15.0,False,0.15,4.8
2020-11-02,27,15.0,,0.15,4.05
2020-11-03,34,15.0,,0.15,5.1
2020-11-04,53,15.0,,0.15,7.949999999999999
2020-11-05,64,15.0,,0.15,9.6
2020-11-06,55,15.0,,0.15,8.25
2020-11-07,45,15.0,,0.15,6.75
2020-11-08,40,14.0,False,0.14,5.6000000000000005
2020-11-09,77,14.0,,0.14,10.780000000000001
2020-11-10,23,14.0,,0.14,3.22
2020-11-11,26,14.0,,0.14,3.6400000000000006
2020-11-12,30,14.0,,0.14,4.2
2020-11-13,54,14.0,,0.14,7.5600000000000005
2020-11-14,25,14.0,,0.14,3.5000000000000004
2020-11-15,46,20.0,False,0.2,9.200000000000001
2020-11-16,55,20.0,,0.2,11.0
2020-11-17,81,20.0,,0.2,16.2
2020-11-18,80,20.0,,0.2,16.0
2020-11-19,44,20.0,,0.2,8.8
2020-11-20,83,20.0,,0.2,16.6
2020-11-21,41,20.0,,0.2,8.200000000000001
2020-11-22,65,20.0,False,0.2,13.0
2020-11-23,43,20.0,,0.2,8.6
2020-11-24,85,20.0,,0.2,17.0
2020-11-25,59,20.0,,0.2,11.8
2020-11-26,100,20.0,,0.2,20.0
2020-11-27,68,20.0,,0.2,13.600000000000001
2020-11-28,69,20.0,,0.2,13.8
2020-11-29,51,16.0,False,0.16,8.16
2020-11-30,87,16.0,,0.16,13.92
2020-12-01,53,16.0,,0.16,8.48
2020-12-02,29,16.0,,0.16,4.64
2020-12-03,45,16.0,,0.16,7.2
2020-12-04,33,16.0,,0.16,5.28
2020-12-05,18,16.0,,0.16,2.88
2020-12-06,29,11.0,False,0.11,3.19
2020-12-07,13,11.0,,0.11,1.43
2020-12-08,41,11.0,,0.11,4.51
2020-12-09,42,11.0,,0.11,4.62
2020-12-10,38,11.0,,0.11,4.18
2020-12-11,29,11.0,,0.11,3.19
2020-12-12,29,11.0,,0.11,3.19
2020-12-13,27,20.0,False,0.2,5.4
2020-12-14,23,20.0,,0.2,4.6000000000000005
2020-12-15,37,20.0,,0.2,7.4
2020-12-16,60,20.0,,0.2,12.0
2020-12-17,100,20.0,,0.2,20.0
2020-12-18,54,20.0,,0.2,10.8
2020-12-19,51,20.0,,0.2,10.200000000000001
2020-12-20,43,20.0,False,0.2,8.6
