date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2019-07-02,95,16.0,,0.16,15.200000000000001
2019-07-03,82,16.0,,0.16,13.120000000000001
2019-07-04,71,16.0,,0.16,11.36
2019-07-05,62,16.0,,0.16,9.92
2019-07-06,63,16.0,,0.16,10.08
2019-07-07,55,16.0,False,0.16,8.8
2019-07-08,80,16.0,,0.16,12.8
2019-07-09,82,16.0,,0.16,13.120000000000001
2019-07-10,87,16.0,,0.16,13.92
2019-07-11,77,16.0,,0.16,12.32
2019-07-12,61,16.0,,0.16,9.76
2019-07-13,68,16.0,,0.16,10.88
2019-07-14,58,16.0,False,0.16,9.28
2019-07-15,79,16.0,,0.16,12.64
2019-07-16,72,16.0,,0.16,11.52
2019-07-17,100,16.0,,0.16,16.0
2019-07-18,83,16.0,,0.16,13.280000000000001
2019-07-19,65,16.0,,0.16,10.4
2019-07-20,81,16.0,,0.16,12.96
2019-07-21,61,14.0,False,0.14,8.540000000000001
2019-07-22,61,14.0,,0.14,8.540000000000001
2019-07-23,65,14.0,,0.14,9.100000000000001
2019-07-24,53,14.0,,0.14,7.420000000000001
2019-07-25,69,14.0,,0.14,9.66
2019-07-26,57,14.0,,0.14,7.98
2019-07-27,59,14.0,,0.14,8.260000000000002
2019-07-28,36,11.0,False,0.11,3.96
2019-07-29,47,11.0,,0.11,5.17
2019-07-30,57,11.0,,0.11,6.2700000000000005
2019-07-31,74,11.0,,0.11,8.14
2019-08-01,57,11.0,,0.11,6.2700000000000005
2019-08-02,54,11.0,,0.11,5.94
2019-08-03,70,11.0,,0.11,7.7
2019-08-04,62,14.0,False,0.14,8.680000000000001
2019-08-05,83,14.0,,0.14,11.620000000000001
2019-08-06,100,14.0,,0.14,14.000000000000002
2019-08-07,88,14.0,,0.14,12.32
2019-08-08,73,14.0,,0.14,10.22
2019-08-09,56,14.0,,0.14,7.840000000000001
2019-08-10,59,14.0,,0.14,8.260000000000002
2019-08-11,58,12.0,False,0.12,6.96
2019-08-12,58,12.0,,0.12,6.96
2019-08-13,57,12.0,,0.12,6.84
2019-08-14,60,12.0,,0.12,7.199999999999999
2019-08-15,79,12.0,,0.12,9.48
2019-08-16,56,12.0,,0.12,6.72
2019-08-17,66,12.0,,0.12,7.92
2019-08-18,43,9.0,False,0.09,3.8699999999999997
2019-08-19,64,9.0,,0.09,5.76
2019-08-20,46,9.0,,0.09,4.14
2019-08-21,68,9.0,,0.09,6.12
2019-08-22,57,9.0,,0.09,5.13
2019-08-23,54,9.0,,0.09,4.859999999999999
2019-08-24,37,9.0,,0.09,3.33
2019-08-25,45,10.0,False,0.1,4.5
2019-08-26,44,10.0,,0.1,4.4
2019-08-27,57,10.0,,0.1,5.7
2019-08-28,36,10.0,,0.1,3.6
2019-08-29,66,10.0,,0.1,6.6000000000000005
2019-08-30,41,10.0,,0.1,4.1000000000000005
2019-08-31,34,10.0,,0.1,3.4000000000000004
2019-09-01,37,10.0,False,0.1,3.7
2019-09-02,59,10.0,,0.1,5.9
2019-09-03,76,10.0,,0.1,7.6000000000000005
2019-09-04,67,10.0,,0.1,6.7
2019-09-05,63,10.0,,0.1,6.300000000000001
2019-09-06,67,10.0,,0.1,6.7
2019-09-07,61,10.0,,0.1,6.1000000000000005
2019-09-08,55,8.0,False,0.08,4.4
2019-09-09,44,8.0,,0.08,3.52
2019-09-10,42,8.0,,0.08,3.36
2019-09-11,34,8.0,,0.08,2.72
2019-09-12,40,8.0,,0.08,3.2
2019-09-13,51,8.0,,0.08,4.08
2019-09-14,58,8.0,,0.08,4.64
2019-09-15,20,6.0,False,0.06,1.2
2019-09-16,40,6.0,,0.06,2.4
2019-09-17,40,6.0,,0.06,2.4
2019-09-18,30,6.0,,0.06,1.7999999999999998
2019-09-19,46,6.0,,0.06,2.76
2019-09-20,36,6.0,,0.06,2.16
2019-09-21,36,6.0,,0.06,2.16
2019-09-22,53,11.0,False,0.11,5.83
2019-09-23,43,11.0,,0.11,4.73
2019-09-24,98,11.0,,0.11,10.78
2019-09-25,100,11.0,,0.11,11.0
2019-09-26,95,11.0,,0.11,10.45
